date,temperature,humidity,soilMoisture,Length,Growth,Fruit_Label
"Saturday,-December-23-2023-23:10:33",27.7,85,36.85,85.1,0.975,Fruit 2
"Sunday,-December-24-2023-00:10:33",27.6,85,38.66,86.075,0.975,Fruit 2
"Sunday,-December-24-2023-01:10:33",27.6,85,38.56,87.05,0.975,Fruit 2
"Sunday,-December-24-2023-02:10:32",27.1,85,37.02,88.025,0.975,Fruit 2
"Sunday,-December-24-2023-03:10:33",27.1,85,36.78,89,0.975,Fruit 2
"Sunday,-December-24-2023-04:10:33",26.7,85,36.73,89.975,0.975,Fruit 2
"Sunday,-December-24-2023-05:10:32",26.7,85,35.92,90.95,0.975,Fruit 2
"Sunday,-December-24-2023-06:10:32",26.7,85,36.19,91.925,0.975,Fruit 2
"Sunday,-December-24-2023-07:10:32",26.2,86,35.97,92.9,0.975,Fruit 2
"Sunday,-December-24-2023-08:10:31",26.2,85,35.78,94.43,1.53,Fruit 2
"Sunday,-December-24-2023-09:10:31",28,82,40.46,95.96,1.53,Fruit 2
"Sunday,-December-24-2023-10:10:31",29.3,80,40.78,97.49,1.53,Fruit 2
"Sunday,-December-24-2023-11:10:31",33.8,74,40.56,99.02,1.53,Fruit 2
"Sunday,-December-24-2023-12:10:31",43,62,39.71,100.55,1.53,Fruit 2
"Sunday,-December-24-2023-13:10:32",60.1,22,39.55,101.2571429,0.7071429,Fruit 2
"Sunday,-December-24-2023-14:10:33",55.4,47,39.71,101.9642857,0.7071428,Fruit 2
"Sunday,-December-24-2023-15:10:34",50.5,56,39.41,102.6714286,0.7071429,Fruit 2
"Sunday,-December-24-2023-16:10:35",53.7,51,41.52,103.3785714,0.7071428,Fruit 2
"Sunday,-December-24-2023-16:58:08",41.6,62,42.25,104.0857143,0.7071429,Fruit 2
"Sunday,-December-24-2023-17:58:08",37.7,76,39.07,104.7928571,0.7071428,Fruit 2
"Sunday,-December-24-2023-18:58:08",34.2,80,39.44,105.5,0.7071429,Fruit 2
"Sunday,-December-24-2023-19:58:08",30.2,86,39.51,106.4222222,0.9222222,Fruit 2
"Sunday,-December-24-2023-20:58:08",28.5,87,39.66,107.3444444,0.9222222,Fruit 2
"Sunday,-December-24-2023-21:58:08",27.6,88,39.17,108.2666667,0.9222223,Fruit 2
"Sunday,-December-24-2023-22:58:07",27.6,86,38.34,109.1888889,0.9222222,Fruit 2
"Sunday,-December-24-2023-23:58:07",27.1,86,37.61,110.1111111,0.9222222,Fruit 2
"Monday,-December-25-2023-00:58:07",27.6,86,37,111.0333333,0.9222222,Fruit 2
"Monday,-December-25-2023-01:58:06",27.1,86,36.61,111.9555556,0.9222223,Fruit 2
"Monday,-December-25-2023-02:58:06",26.7,86,37,112.8777778,0.9222222,Fruit 2
"Monday,-December-25-2023-03:58:06",26.2,86,35.53,113.8,0.9222222,Fruit 2
"Monday,-December-25-2023-04:58:06",27.1,85,36.97,114.7222222,0.9222222,Fruit 2
"Monday,-December-25-2023-05:58:06",26.7,85,36.24,115.6444444,0.9222222,Fruit 2
